Line No.,Nominal Composition,Product Form,Spec. No.,Type/Grade,Alloy Desig./UNS No.,Class/Condition/Temper,Size/Thickness (mm),P-No.,Min. Tensile Strength (MPa),Min. Yield Strength (MPa),III,VIII-2,External Pressure Chart No.,Notes,40,65,100,125,150,175,200,225,250,275,300,325,350,375,400,425
1,...,Drawn smls. tube,SB-210,,... Alclad 3003,O,0.25-12.7,21,90,31,NP,121,NFA-7,G8,20.7,20.7,20.2,18.3,...,...,...,...,...,...,...,...,...,...,...,...
2,...,Drawn smls. tube,SB-210,,... Alclad 3003,H113,1.27-12.7,21,90,31,NP,121,NFA-7,"G8, W2",20.7,20.7,20.2,18.3,...,...,...,...,...,...,...,...,...,...,...,...
3,...,Smls. extr. tube,SB-241,,... Alclad 3003,O,...,21,90,31,NP,121,NFA-7,G8,20.7,20.7,20.2,18.3,...,...,...,...,...,...,...,...,...,...,...,...
4,...,Smls. extr. tube,SB-241,,... Alclad 3003,H112,...,21,90,31,NP,121,NFA-7,"G8, W2",20.7,20.7,20.2,18.3,...,...,...,...,...,...,...,...,...,...,...,...
5,...,"Plate, sheet",SB-209,,... A93003,O,0.15-76.2,21,97,34,NP,121,NFA-1,G8,22.8,22.8,22.4,20.4,...,...,...,...,...,...,...,...,...,...,...,...
6,...,"Plate, sheet",SB-209,,... A93003,H112,6.35-12.69,21,120,69,NP,121,NFA-1,"G8, W2",39.3,39.3,39.0,36.1,...,...,...,...,...,...,...,...,...,...,...,...
7,...,"Plate, sheet",SB-209,,... A93003,H112,12.70-50.80,21,100,41,NP,93,NFA-1,"G8, W2",27.6,27.6,27.6,...,...,...,...,...,...,...,...,...,...,...,...,...
8,...,"Plate, sheet",SB-209,,... A93003,H112,50.81-76.2,21,100,41,NP,93,NFA-1,"G8, W2",27.6,27.6,27.6,...,...,...,...,...,...,...,...,...,...,...,...,...
9,...,Drawn smls. tube,SB-210,,... A93003,O,0.25-12.7,21,97,34,NP,121,NFA-1,G8,22.8,22.8,22.4,20.4,...,...,...,...,...,...,...,...,...,...,...,...
10,...,Drawn smls. tube,SB-210,,... A93003,H113,0.25-12.7,21,97,34,NP,121,NFA-1,"G8, W2",22.8,22.8,22.4,20.4,...,...,...,...,...,...,...,...,...,...,...,...
11,...,"Bar, rod, shapes",SB-221,,... A93003,O,...,21,97,34,NP,121,NFA-1,"G2, G8",22.8,22.8,22.4,20.4,...,...,...,...,...,...,...,...,...,...,...,...
12,...,"Bar, rod, shapes",SB-221,,... A93003,H112,...,21,97,34,NP,121,NFA-1,"G2, G8, W2",22.8,22.8,22.4,20.4,...,...,...,...,...,...,...,...,...,...,...,...
13,...,Smls. extr. tube,SB-241,,... A93003,O,...,21,97,34,NP,121,NFA-1,G8,22.8,22.8,22.4,20.4,...,...,...,...,...,...,...,...,...,...,...,...
14,...,Smls. pipe,SB-241,,... A93003,H112,≥25.4,21,97,34,NP,121,NFA-1,G8,22.8,22.8,22.4,20.4,...,...,...,...,...,...,...,...,...,...,...,...
